regionID,constellationID,constellationName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,20000013,Aguh,-85376912341931904.0000000000,74627511451559808.0000000000,-95203902877559808.0000000000,-88958161349679600.0000000000,-81795663334184192.0000000000,66954736263958704.0000000000,82300286639160992.0000000000,86139083467917504.0000000000,104268722287202000.0000000000,500007,9.06482e+15
10000001,20000014,Mal,-67025415480593296.0000000000,69065343721766600.0000000000,-83738546602880000.0000000000,-77433814344717104.0000000000,-56617016616469504.0000000000,55052089301391000.0000000000,83078598142142304.0000000000,70906262138822096.0000000000,96570831066938000.0000000000,500007,1.40133e+16
10000001,20000015,Subi,-96022070504776496.0000000000,39296496777494200.0000000000,-83624762212612400.0000000000,-106671896575290000.0000000000,-85372244434263200.0000000000,31692620381826100.0000000000,46900373173162200.0000000000,78714012881177904.0000000000,88535511544047008.0000000000,500007,1.06498e+16
10000001,20000016,Joas,-49173916281705696.0000000000,33836265012847800.0000000000,-42057063709409296.0000000000,-53452237678029296.0000000000,-44895594885382200.0000000000,25587659848169600.0000000000,42084870177526096.0000000000,35992279935059800.0000000000,48121847483758800.0000000000,500007,8.2486e+15
10000002,20000017,Ruomo,-111328382873739008.0000000000,47124237231337200.0000000000,108042345007324992.0000000000,-120342524769332000.0000000000,-102314240978147008.0000000000,40196058733944400.0000000000,54052415728730096.0000000000,-116245911522904000.0000000000,-99838778491746800.0000000000,500001,9.01414e+15
10000002,20000018,Anttanen,-115692045321475008.0000000000,73490041751318400.0000000000,91044031940108608.0000000000,-128835093262736992.0000000000,-102548997380212992.0000000000,64756684486083104.0000000000,82223399016553696.0000000000,-98338125228173504.0000000000,-83749938652043808.0000000000,500001,1.3143e+16
10000002,20000019,Ihilakken,-143645654698282000.0000000000,52909580254258400.0000000000,109619376865938000.0000000000,-153519004289575008.0000000000,-133772305106990000.0000000000,42661698014827800.0000000000,63157462493689000.0000000000,-114295800169879008.0000000000,-104942953561996992.0000000000,500001,1.02479e+16
10000002,20000020,Kimotoro,-134996400468184992.0000000000,64999452632293296.0000000000,103325617317520992.0000000000,-144006154015412000.0000000000,-125986646920959008.0000000000,58522258220588600.0000000000,71476647043998000.0000000000,-117469227060090000.0000000000,-89182007574952400.0000000000,500001,1.41436e+16
10000002,20000021,Okomon,-96930752873126208.0000000000,66671478061111104.0000000000,101741114599484000.0000000000,-107736208975300000.0000000000,-86125296770952896.0000000000,59626073427345104.0000000000,73716882694876992.0000000000,-116754753932848000.0000000000,-86727475266120896.0000000000,500001,1.50136e+16
10000002,20000022,Onirvura,-90507115871837504.0000000000,82550623397672496.0000000000,97469213875362896.0000000000,-98339802584918096.0000000000,-82674429158756896.0000000000,73322563317140096.0000000000,91778683478204896.0000000000,-101436453611752992.0000000000,-93501974138973200.0000000000,500001,9.22806e+15
10000002,20000023,Ihatalo,-70322400307853904.0000000000,53718255284865600.0000000000,88248896857148192.0000000000,-81145003338444192.0000000000,-59499797277263600.0000000000,43962551893726600.0000000000,63473958676004600.0000000000,-94326218506763008.0000000000,-82171575207533296.0000000000,500001,1.08226e+16
10000002,20000024,Okkelen,-74187838088608496.0000000000,92679684118250208.0000000000,119743943763364992.0000000000,-81148409550040992.0000000000,-67227266627176000.0000000000,83095211718440704.0000000000,102264156518060000.0000000000,-123822444497570000.0000000000,-115665443029160000.0000000000,500001,9.58447e+15
10000002,20000025,Otsabaira,-89365854722718896.0000000000,78098349688938592.0000000000,122815243158492992.0000000000,-95471522233091600.0000000000,-83260187212346208.0000000000,67280694585549000.0000000000,88916004792328304.0000000000,-129160044383988992.0000000000,-116470441932998000.0000000000,500001,1.08177e+16
10000002,20000026,Aulari,-70831513081319000.0000000000,92899595278725696.0000000000,99214113850044304.0000000000,-79911211676856304.0000000000,-61751814485781696.0000000000,81424075328876192.0000000000,104375115228575008.0000000000,-105753962994864992.0000000000,-92674264705223696.0000000000,500001,1.14755e+16
10000002,20000027,Etsala,-91794704342896608.0000000000,79537338001393904.0000000000,136023921368116992.0000000000,-98457320565911104.0000000000,-85132088119882000.0000000000,75263794103355296.0000000000,83810881899432400.0000000000,-142703848208880992.0000000000,-129343994527352992.0000000000,500001,6.67993e+15
10000002,20000028,Mivora,-49195004630953000.0000000000,35154556396755100.0000000000,80627031104049792.0000000000,-56106610880070200.0000000000,-42283398381835800.0000000000,30292857872742900.0000000000,40016254920767296.0000000000,-83317261489071296.0000000000,-77936800719028304.0000000000,500001,6.91161e+15
10000002,20000029,Orpana,-97766267902300896.0000000000,71481166323680304.0000000000,144452603161759008.0000000000,-106151172886939008.0000000000,-89381362917663200.0000000000,64605950613365104.0000000000,78356382033995392.0000000000,-147778397330120992.0000000000,-141126808993396000.0000000000,500001,8.38491e+15
10000003,20000030,U29-0S,-66513135592344496.0000000000,106332596113235008.0000000000,165987695889980992.0000000000,-70922167602412200.0000000000,-62104103582276800.0000000000,98904013912009904.0000000000,113761178314460992.0000000000,-175641473573460000.0000000000,-156333918206502016.0000000000,None,9.65378e+15
10000003,20000031,BUG6-X,-95371770993474208.0000000000,68621257415593800.0000000000,198066771995088992.0000000000,-101434960175276992.0000000000,-89308581811670896.0000000000,60174367471158800.0000000000,77068147360028800.0000000000,-204939572812472992.0000000000,-191193971177705984.0000000000,None,8.44689e+15
10000003,20000032,OSJ7-I,-50082598650055504.0000000000,87362461295059904.0000000000,158787052717737984.0000000000,-67201046889761800.0000000000,-32964150410349100.0000000000,76517661964270208.0000000000,98207260625849600.0000000000,-168139788973304000.0000000000,-149434316462172000.0000000000,None,1.71184e+16
10000003,20000033,DMXN-3,-99233760260769408.0000000000,131254717897402000.0000000000,209770750685339008.0000000000,-109456397362479008.0000000000,-89011123159060304.0000000000,116894044393756000.0000000000,145615391401048000.0000000000,-214694771735750016.0000000000,-204846729634928992.0000000000,None,1.43607e+16
10000003,20000034,I89-EP,-77307446099039600.0000000000,99429771158508704.0000000000,191827695753879008.0000000000,-84754366467009104.0000000000,-69860525731070200.0000000000,88761500030911504.0000000000,110098042286106000.0000000000,-196781511960287008.0000000000,-186873879547470016.0000000000,None,1.06683e+16
10000003,20000035,Z-DO53,-95979047770882800.0000000000,91104243395762000.0000000000,187989064417571008.0000000000,-103272195706387008.0000000000,-88685899835378592.0000000000,77695879510842704.0000000000,104512607280680992.0000000000,-201945755536468992.0000000000,-174032373298672000.0000000000,None,1.39567e+16
10000003,20000036,YUT3-U,-96959562214228000.0000000000,115976965323544000.0000000000,178171700292355008.0000000000,-107342206660500000.0000000000,-86576917767956304.0000000000,107640274018555008.0000000000,124313656628532000.0000000000,-182193803578400992.0000000000,-174149597006308992.0000000000,None,1.03826e+16
10000003,20000037,5YHF-H,-69460729913745104.0000000000,107277728808784000.0000000000,211861833588607008.0000000000,-74858990530627008.0000000000,-64062469296863104.0000000000,96480937779572704.0000000000,118074519837996000.0000000000,-221741730757535008.0000000000,-201981936419679008.0000000000,None,1.07968e+16
10000003,20000038,UK-MI6,-52458407374936000.0000000000,116744024602218000.0000000000,161939902558408000.0000000000,-57220361168829904.0000000000,-47696453581042000.0000000000,103573190306983008.0000000000,129914858897454000.0000000000,-169905104147564992.0000000000,-153974700969251008.0000000000,None,1.31708e+16
10000003,20000039,YDS0-Y,-37611080188305000.0000000000,104567340214531008.0000000000,143889798413638000.0000000000,-47708893978364000.0000000000,-27513266398246000.0000000000,89585326694538592.0000000000,119549353734524000.0000000000,-150645294598251008.0000000000,-137134302229024992.0000000000,None,1.4982e+16
10000003,20000040,A3-T8B,-15599951390511800.0000000000,58204170407514304.0000000000,146094919517886016.0000000000,-30335960161359900.0000000000,-863942619663614.0000000000,46232484927361200.0000000000,70175855887667296.0000000000,-155434663613932992.0000000000,-136755175421839008.0000000000,None,1.4736e+16
10000003,20000041,DILJ-7,-55557388676937104.0000000000,103991527604496000.0000000000,175235332491412992.0000000000,-61108062551960496.0000000000,-50006714801913800.0000000000,96171826613593696.0000000000,111811228595399008.0000000000,-180890526670256000.0000000000,-169580138312568992.0000000000,None,7.8197e+15
10000003,20000042,0-8MWQ,-19710488872023700.0000000000,84738041304520000.0000000000,167961716935880992.0000000000,-25600858792149600.0000000000,-13820118951897800.0000000000,79634242639569296.0000000000,89841839969470704.0000000000,-179945130048372000.0000000000,-155978303823391008.0000000000,None,1.19834e+16
10000003,20000043,F-V9QW,-54655474590854600.0000000000,123108676507826000.0000000000,218879593357516000.0000000000,-60511622383391104.0000000000,-48799326798318000.0000000000,116132348558544992.0000000000,130085004457106000.0000000000,-227965725499628000.0000000000,-209793461215404992.0000000000,None,9.08613e+15
10000003,20000044,E-8CSQ,-1514667562461480.0000000000,81652960362731392.0000000000,175435909067551008.0000000000,-10532836861876100.0000000000,7503501736953180.0000000000,74699713837950304.0000000000,88606206887512608.0000000000,-181348518680572000.0000000000,-169523299454529984.0000000000,None,9.01817e+15
10000003,20000045,9KX-M0,11095113585093600.0000000000,90541970885213408.0000000000,160705492923388000.0000000000,357359445750513.0000000000,21832867724436700.0000000000,81643175281532496.0000000000,99440766488894304.0000000000,-167799373798343008.0000000000,-153611612048433984.0000000000,None,1.07378e+16
10000003,20000046,88G-M4,7984492458176920.0000000000,68914220532039696.0000000000,168077197075228992.0000000000,2143875275812080.0000000000,13825109640541800.0000000000,57928337495112800.0000000000,79900103568966496.0000000000,-172519735761403008.0000000000,-163634658389055008.0000000000,None,1.09859e+16
10000004,20000047,L5-H1O,112345181195738000.0000000000,58249254405505904.0000000000,207923745285729984.0000000000,99653246630054592.0000000000,125037115761422000.0000000000,51031642708078200.0000000000,65466866102933696.0000000000,-219676624815968992.0000000000,-196170865755489984.0000000000,None,1.26919e+16
10000004,20000048,J-4QD7,82235057281779296.0000000000,68763943720376304.0000000000,193468952726847008.0000000000,74920147847206400.0000000000,89549966716352192.0000000000,56207619019690800.0000000000,81320268421061696.0000000000,-196099460376939008.0000000000,-190838445076755008.0000000000,None,1.25563e+16
10000004,20000049,LC-AQD,95365561830121904.0000000000,37691399113295200.0000000000,191007747774319008.0000000000,87122757669019600.0000000000,103608365991224000.0000000000,25727567579592300.0000000000,49655230646998096.0000000000,-203522662329175008.0000000000,-178492833219464000.0000000000,None,1.25149e+16
10000004,20000050,7PUP-K,74349964199796496.0000000000,57980328529961200.0000000000,237707660060956000.0000000000,69265512787123696.0000000000,79434415612469296.0000000000,48729672525131504.0000000000,67230984534790800.0000000000,-241913433930753984.0000000000,-233501886191156992.0000000000,None,9.25066e+15
10000004,20000051,V8UW-M,98850528343110800.0000000000,79559619351352992.0000000000,258638058258739008.0000000000,89039881002363200.0000000000,108661175683858000.0000000000,62715918621067696.0000000000,96403320081638304.0000000000,-277895491552279008.0000000000,-239380624965198016.0000000000,None,1.92574e+16
10000004,20000052,T7B-VB,93258374828941296.0000000000,55313475786618200.0000000000,229855753632976992.0000000000,84605309761575200.0000000000,101911439896307008.0000000000,39556766237408704.0000000000,71070185335827696.0000000000,-247501018854262016.0000000000,-212210488411692000.0000000000,None,1.76453e+16
10000004,20000053,B-PHYN,87274227413972800.0000000000,52164330429476496.0000000000,259770384539448000.0000000000,78703117417821504.0000000000,95845337410124096.0000000000,32128302809621800.0000000000,72200358049331104.0000000000,-270230853197563008.0000000000,-249309915881332992.0000000000,None,2.0036e+16
10000004,20000054,9RW5-Z,87885693905269792.0000000000,13865039116517100.0000000000,164377322883812992.0000000000,81499528910598800.0000000000,94271858899940800.0000000000,7424451206732370.0000000000,20305627026301900.0000000000,-174086298852795008.0000000000,-154668346914831008.0000000000,None,9.70898e+15
10000004,20000055,VL-OGL,93913901366827104.0000000000,76661557980251504.0000000000,295691910175006016.0000000000,89780823999141408.0000000000,98046978734512800.0000000000,62520826596764000.0000000000,90802289363739104.0000000000,-307549013896644992.0000000000,-283834806453367008.0000000000,None,1.41407e+16
10000004,20000056,VW-JMB,79055461690551600.0000000000,56150939252861600.0000000000,307329486129294976.0000000000,73723728875074704.0000000000,84387194506028608.0000000000,46175545958523800.0000000000,66126332547199296.0000000000,-312477971377793024.0000000000,-302181000880796032.0000000000,None,9.97539e+15
10000004,20000057,HN5-RL,99195578320276496.0000000000,80755558873062096.0000000000,326045817320345984.0000000000,95944934156499296.0000000000,102446222484054000.0000000000,66697407164262400.0000000000,94813710581861792.0000000000,-336012848768635008.0000000000,-316078785872057024.0000000000,None,1.40582e+16
10000004,20000058,RO-AZT,101486057028744992.0000000000,90275635871078400.0000000000,309564902654401024.0000000000,92581627518874704.0000000000,110390486538615008.0000000000,79250291172755504.0000000000,101300980569400992.0000000000,-317677836719504000.0000000000,-301451968589297984.0000000000,None,1.10253e+16
10000004,20000059,KCR-1E,98035362302126800.0000000000,93879413847931200.0000000000,357446704176556992.0000000000,92637127434144304.0000000000,103433597170108992.0000000000,88615270818244000.0000000000,99143556877618496.0000000000,-366830427395292992.0000000000,-348062980957822016.0000000000,None,9.38372e+15
10000004,20000060,FL-TD4,67390827320013696.0000000000,88820165257848992.0000000000,260266484922457984.0000000000,58664962754782800.0000000000,76116691885244608.0000000000,80154804099038704.0000000000,97485526416659296.0000000000,-269018182991303008.0000000000,-251514786853612992.0000000000,None,8.7517e+15
10000004,20000061,B-HLOG,110740785612982000.0000000000,95695152896940000.0000000000,367083502298462976.0000000000,99600652662138304.0000000000,121880918563826000.0000000000,83927544693832192.0000000000,107462761100048000.0000000000,-374493094117747968.0000000000,-359673910479177024.0000000000,None,1.17676e+16
10000004,20000062,0VFS-G,81918647438573792.0000000000,86733346682467808.0000000000,380774177850620032.0000000000,73728142972339600.0000000000,90109151904807904.0000000000,76915501424055200.0000000000,96551191940880496.0000000000,-386137835623875008.0000000000,-375410520077364992.0000000000,None,9.81785e+15
10000005,20000063,GJH-1C,95616426008536800.0000000000,-31515032804269400.0000000000,-164748864800977984.0000000000,83871981082463296.0000000000,107360870934610000.0000000000,-43311381608068000.0000000000,-19718684000470800.0000000000,153664963769896000.0000000000,175832765832059008.0000000000,None,1.17963e+16
10000005,20000064,RFQ-8Y,133660481311515008.0000000000,-16228890348590200.0000000000,-190273639271198016.0000000000,121180695613428992.0000000000,146140267009600000.0000000000,-23612362509615500.0000000000,-8845418187565000.0000000000,179578877691207008.0000000000,200968400851188992.0000000000,None,1.24798e+16
10000005,20000065,MZ-PA2,77496843973927808.0000000000,-15442356701422000.0000000000,-203155203452019008.0000000000,67883664949206096.0000000000,87110022998649504.0000000000,-26627400440482800.0000000000,-4257312962361120.0000000000,194346813661504000.0000000000,211963593242534016.0000000000,None,1.1185e+16
10000005,20000066,5F8-PZ,124874496742708000.0000000000,-29802022457067500.0000000000,-166005403776531008.0000000000,112576435747482000.0000000000,137172557737935008.0000000000,-38997554822236304.0000000000,-20606490091898700.0000000000,152956854299094016.0000000000,179053953253967008.0000000000,None,1.30485e+16
10000005,20000067,PR-ACX,106725752239432000.0000000000,-30408883602762500.0000000000,-186128662233232000.0000000000,96883739059821504.0000000000,116567765419043008.0000000000,-41922852723691296.0000000000,-18894914481833700.0000000000,178656610938806016.0000000000,193600713527659008.0000000000,None,1.1514e+16
10000005,20000068,5P4-QA,146181972871032992.0000000000,-18457688314862200.0000000000,-211755880542510016.0000000000,135510341160370000.0000000000,156853604581695008.0000000000,-27078890267554000.0000000000,-9836486362170380.0000000000,203594626826948992.0000000000,219917134258070016.0000000000,None,1.06716e+16
10000005,20000069,1RG-GU,65895761567770200.0000000000,-24140946526863100.0000000000,-205869439168795008.0000000000,61880021938627200.0000000000,69911501196913104.0000000000,-34422177559756600.0000000000,-13859715493969500.0000000000,196478749034395008.0000000000,215260129303195008.0000000000,None,1.02812e+16
10000005,20000070,ZPI-2E,168633211470464992.0000000000,-34753390351946800.0000000000,-228035652156065984.0000000000,160612899877966016.0000000000,176653523062964000.0000000000,-51619208215516096.0000000000,-17887572488377600.0000000000,213466490338948000.0000000000,242604813973184992.0000000000,None,1.68658e+16
10000005,20000071,D-95MV,111412007944826000.0000000000,-12062671703106700.0000000000,-207213171277608992.0000000000,94817389814211008.0000000000,128006626075442000.0000000000,-23344664987730100.0000000000,-780678418483380.0000000000,202847658587396992.0000000000,211578683967822016.0000000000,None,1.65946e+16
10000005,20000072,3R-BJL,208994892179550016.0000000000,-12952982418948500.0000000000,-194787266992566016.0000000000,189905290217871008.0000000000,228084494141230016.0000000000,-19983015851255600.0000000000,-5922948986641530.0000000000,186771604915863008.0000000000,202802929069268992.0000000000,None,1.90896e+16
10000005,20000073,T875-C,81811631330727600.0000000000,-50720332048902600.0000000000,-210097452731596992.0000000000,66884526694394704.0000000000,96738735967060496.0000000000,-61320802995327200.0000000000,-40119861102478096.0000000000,201876895620369984.0000000000,218318009842824000.0000000000,None,1.49271e+16
10000005,20000074,4SRW-B,68519629679937600.0000000000,-16788780814371400.0000000000,-227533857587847008.0000000000,63355639914468496.0000000000,73683619445406800.0000000000,-29531462711880200.0000000000,-4046098916862710.0000000000,218108693354316992.0000000000,236959021821376992.0000000000,None,1.27427e+16
10000005,20000075,HOV-VI,58085917807688304.0000000000,-28877276473706600.0000000000,-219987046200608000.0000000000,49482912280940304.0000000000,66688923334436304.0000000000,-39423163912393400.0000000000,-18331389035019800.0000000000,217114153117348000.0000000000,222859939283868000.0000000000,None,1.05459e+16
10000005,20000076,NZU8-G,136909058206464992.0000000000,-34785060800507800.0000000000,-204136942807228000.0000000000,124232013861986000.0000000000,149586102550944992.0000000000,-43574956781374704.0000000000,-25995164819640800.0000000000,197880519164212992.0000000000,210393366450241984.0000000000,None,1.2677e+16
10000006,20000077,0FC-ZX,122072758906032000.0000000000,-16779717773981400.0000000000,-157619597580259008.0000000000,110669678185760992.0000000000,133475839626302000.0000000000,-28340963787176500.0000000000,-5218471760786430.0000000000,150909816728979008.0000000000,164329378431537984.0000000000,None,1.15612e+16
10000006,20000078,AC-RON,137370897838259008.0000000000,8232432159656810.0000000000,-149783265558614016.0000000000,130597642269296992.0000000000,144144153407220992.0000000000,-1290037627681530.0000000000,17754901946995100.0000000000,142018883320999008.0000000000,157547647796228992.0000000000,None,9.52247e+15
10000006,20000079,RF9-ZU,107842875633863008.0000000000,2812639394662790.0000000000,-176706153814934016.0000000000,98497827264224896.0000000000,117187924003500000.0000000000,-5111715170428120.0000000000,10736993959753700.0000000000,167652163657104000.0000000000,185760143972764000.0000000000,None,9.34505e+15
10000006,20000080,DJ-XCW,104747162602870000.0000000000,-1659717469163310.0000000000,-144430017697753984.0000000000,97618826020966896.0000000000,111875499184774000.0000000000,-12532625137053400.0000000000,9213190198726730.0000000000,138076167573096992.0000000000,150783867822411008.0000000000,None,1.08729e+16
10000006,20000081,3GK-WS,91064303681446704.0000000000,9684709253246680.0000000000,-149712235378091008.0000000000,85124694507156096.0000000000,97003912855737296.0000000000,928164548921419.0000000000,18441253957571900.0000000000,136354198833267008.0000000000,163070271922915008.0000000000,None,1.3358e+16
10000006,20000082,5ZR-29,70926975289732400.0000000000,3839812431920330.0000000000,-147035217857220000.0000000000,66356019481235800.0000000000,75497931098228992.0000000000,-8899232577684160.0000000000,16578857441524800.0000000000,144610385065662016.0000000000,149460050648779008.0000000000,None,1.2739e+16
10000006,20000083,J-9M7D,55094289188289696.0000000000,6470885908622320.0000000000,-183026537726128992.0000000000,48166937486479000.0000000000,62021640890100304.0000000000,1537896811998220.0000000000,11403875005246400.0000000000,177002722291219008.0000000000,189050353161039008.0000000000,None,6.92735e+15
10000006,20000084,R-M719,70481625989497400.0000000000,4715897905218530.0000000000,-172631015151399008.0000000000,64315183717600496.0000000000,76648068261394304.0000000000,-8987172473956290.0000000000,18418968284393400.0000000000,164234799042577984.0000000000,181027231260220000.0000000000,None,1.37031e+16
10000006,20000085,5Y1E-3,114255230938303008.0000000000,16170487150095300.0000000000,-156522164737633984.0000000000,106667673755784000.0000000000,121842788120823008.0000000000,8021372129731610.0000000000,24319602170458900.0000000000,152592088021223008.0000000000,160452241454044992.0000000000,None,8.14912e+15
10000006,20000086,760-9C,99277128765664400.0000000000,-13043260308608100.0000000000,-162926173720071008.0000000000,88217505269076992.0000000000,110336752262252000.0000000000,-19021964439995100.0000000000,-7064556177221050.0000000000,157940340595440000.0000000000,167912006844700992.0000000000,None,1.10596e+16
10000006,20000087,4-QV2L,83354229553009200.0000000000,21863163054607500.0000000000,-180582076915718016.0000000000,71814484705572704.0000000000,94893974400445792.0000000000,16296783450299300.0000000000,27429542658915600.0000000000,175909100285864000.0000000000,185255053545572000.0000000000,None,1.15397e+16
10000006,20000088,GU-JZ1,83647590451866208.0000000000,-6955335166507190.0000000000,-142341340477442000.0000000000,76369067891698896.0000000000,90926113012033600.0000000000,-18931963768427200.0000000000,5021293435412780.0000000000,139617849870154000.0000000000,145064831084729984.0000000000,None,1.19766e+16
10000007,20000089,BVA-YH,220534180903670016.0000000000,7175226271340410.0000000000,-106354699551511008.0000000000,211902825837728000.0000000000,229165535969612000.0000000000,1380989784662150.0000000000,12969462758018700.0000000000,98742581596448992.0000000000,113966817506572000.0000000000,None,8.63136e+15
10000007,20000090,VS-8P0,183951658928238016.0000000000,9761231144107390.0000000000,-120228420356962000.0000000000,168486163179495008.0000000000,199417154676982016.0000000000,2898270229378900.0000000000,16624192058835900.0000000000,112535597991756992.0000000000,127921242722167008.0000000000,None,1.54655e+16
10000007,20000091,5HN-S5,224114852400476000.0000000000,-15582868522270300.0000000000,-85258706497681200.0000000000,214088951610300000.0000000000,234140753190651008.0000000000,-28078812574864100.0000000000,-3086924469676600.0000000000,69124600091398096.0000000000,101392812903964000.0000000000,None,1.61341e+16
10000007,20000092,Y-JSM8,253779292278507008.0000000000,4640064166336240.0000000000,-98750530649807808.0000000000,231875968206145984.0000000000,275682616350868000.0000000000,-7905412092661460.0000000000,17185540425333900.0000000000,89489898210421200.0000000000,108011163089194000.0000000000,None,2.19033e+16
10000007,20000093,VSC-W9,287528567120156000.0000000000,-18895670266378300.0000000000,-77164576486649104.0000000000,277546601310816992.0000000000,297510532929496000.0000000000,-32199397382372800.0000000000,-5591943150383830.0000000000,70452831361986304.0000000000,83876321611311904.0000000000,None,1.33037e+16
10000007,20000094,FQ-COP,305503962670838976.0000000000,-42131490031126800.0000000000,-88263069787450000.0000000000,291962336466472000.0000000000,319045588875206976.0000000000,-54268759936178000.0000000000,-29994220126075600.0000000000,83359246910115392.0000000000,93166892664784496.0000000000,None,1.35416e+16
10000007,20000095,MRC-29,282432889187024992.0000000000,-11149121009654200.0000000000,-49918145941828496.0000000000,267344945884475008.0000000000,297520832489574976.0000000000,-36097505948770800.0000000000,13799263929462500.0000000000,44326312449606496.0000000000,55509979434050400.0000000000,None,2.49484e+16
10000008,20000096,51ZT-6,47434283796252304.0000000000,12686193877183800.0000000000,-149422986946270016.0000000000,32418840200710700.0000000000,62449727391793800.0000000000,-3394359414656190.0000000000,28766747169023700.0000000000,135347357978628992.0000000000,163498615913912000.0000000000,None,1.60806e+16
10000008,20000097,4YFT-F,51650554021543296.0000000000,6432635259158460.0000000000,-129755759904938000.0000000000,37471050311939800.0000000000,65830057731146800.0000000000,-4579157356155900.0000000000,17444427874472800.0000000000,121625540970984000.0000000000,137885978838891008.0000000000,None,1.41795e+16
10000008,20000098,P-I9PF,32507759429734700.0000000000,31715019526786400.0000000000,-119041223169724000.0000000000,25802294278059600.0000000000,39213224581409800.0000000000,26417349603355800.0000000000,37012689450216896.0000000000,110857821721450000.0000000000,127224624617999008.0000000000,None,8.1834e+15
10000008,20000099,ENP-SH,81174978736738400.0000000000,12154196696489900.0000000000,-130054969482864000.0000000000,68827156152532496.0000000000,93522801320944192.0000000000,-1972689063314170.0000000000,26281082456294000.0000000000,118578754529036000.0000000000,141531184436692000.0000000000,None,1.41269e+16
10000008,20000100,Y-M7ML,18636660874023100.0000000000,-21485660357373500.0000000000,-158065612673596992.0000000000,12554607404164400.0000000000,24718714343881800.0000000000,-26176468208711500.0000000000,-16794852506035500.0000000000,148121254972244992.0000000000,168009970374948992.0000000000,None,9.94436e+15
10000008,20000101,QI1M-Q,37953812764429800.0000000000,27713965209474900.0000000000,-172427164786443008.0000000000,33484248768241500.0000000000,42423376760618200.0000000000,23417771642211000.0000000000,32010158776738700.0000000000,160734670105646016.0000000000,184119659467240992.0000000000,None,1.16925e+16
