system_id,status,derived_security_status,system_name,system_security,system_sovereignty
30003482,edencom_minor_victory,,Mista,0.5,amarr
30005263,edencom_minor_victory,,Mozzidit,0.3,amarr
30005066,edencom_minor_victory,,Kerying,0.2,amarr
30004268,edencom_minor_victory,,Shenda,0.5,amarr
30005236,edencom_minor_victory,,Noranim,0.3,amarr
30003829,edencom_minor_victory,,Renarelle,0.3,gallente
30005034,edencom_minor_victory,,Bridi,0.4,amarr
30003074,edencom_minor_victory,,Sasiekko,0.5,amarr
30003809,edencom_minor_victory,,Brellystier,0.5,gallente
30001718,edencom_minor_victory,,Paye,0.6,amarr
30004256,edencom_minor_victory,,Edilkam,0.1,amarr
30004301,edencom_minor_victory,,Anath,0.1,amarr
30002397,edencom_minor_victory,,Horaka,0.6,minmatar
30003854,edencom_minor_victory,,Alamel,0.2,gallente
30001660,edencom_minor_victory,,Dabrid,0.6,amarr
30002079,final_liminality,-0.4,Krirald,0.2,minmatar
30002652,final_liminality,-0.4,Ala,0.5,gallente
30002411,final_liminality,-0.3,Skarkon,0.1,minmatar
30005005,final_liminality,-0.5,Ignebaener,0.5,gallente
30000021,final_liminality,-0.8,Kuharah,0.2,amarr
30002797,final_liminality,-0.9,Kaunokka,0.5,caldari
30031392,final_liminality,-0.4,Komo,0.8,caldari
30001413,final_liminality,-0.2,Nani,0.8,caldari
30000206,final_liminality,-0.5,Wirashoda,0.5,caldari
30040141,final_liminality,-0.4,Urhinichi,0.8,caldari
30045328,final_liminality,-0.7,Ahtila,0.6,caldari
30002770,final_liminality,-0.1,Tunudan,0.4,caldari
30003504,final_liminality,-0.7,Niarja,0.5,amarr
30002737,final_liminality,0,Konola,0.7,caldari
30000192,final_liminality,-0.3,Otanuomi,0.4,caldari
30000157,final_liminality,-0.3,Otela,0.5,caldari
30001372,final_liminality,-0.9,Kino,0.7,caldari
30002702,final_liminality,-0.4,Archee,0.4,gallente
30003046,final_liminality,-0.5,Angymonne,0.6,gallente
30020141,final_liminality,-0.9,Senda,0.9,caldari
30045329,final_liminality,-0.4,Ichoriya,0.6,caldari
30002225,final_liminality,-0.8,Harva,0.8,amarr
30001381,final_liminality,-0.1,Arvasaras,0.5,caldari
30001445,final_liminality,0,Nalvula,0.4,caldari
30010141,final_liminality,-0.2,Sakenta,1,caldari
30005029,final_liminality,-1,Vale,0.7,gallente
30003495,final_liminality,-1,Raravoss,0.6,amarr
30003539,fortress,,Miakie,0.5,amarr
30003573,fortress,,Pertnineere,0.4,gallente
30005251,fortress,,Asanot,0.5,amarr
30004103,fortress,,Kothe,0.6,amarr
30000118,fortress,,Uanzin,0.4,amarr
30004090,fortress,,Aband,0.5,amarr
30003548,fortress,,Barira,0.8,amarr
30000113,fortress,,Astabih,0.4,amarr
30002386,fortress,,Gelfiven,0.6,minmatar
30004973,fortress,,Caslemon,0.6,gallente
30002266,fortress,,Ahmak,0.6,amarr
30002530,fortress,,Avesber,0.8,minmatar
30004141,fortress,,Hiremir,0.3,amarr
30002253,fortress,,Arshat,0.6,amarr
30003398,fortress,,Anbald,0.7,minmatar
30003490,fortress,,Khopa,0.8,amarr
30003556,fortress,,Arton,0.4,amarr
30002385,fortress,,Teonusude,0.6,minmatar
30002704,fortress,,Adrallezoen,0.5,gallente
30005058,fortress,,Neesher,0.5,amarr
30004305,fortress,,Esaeel,0.1,amarr
30003883,fortress,,Keberz,0.5,amarr
30003397,fortress,,Bongveber,0.9,minmatar
30004084,fortress,,Ghesis,0.5,amarr
30003574,fortress,,Boystin,0.5,gallente
30002665,fortress,,Misneden,0.5,gallente
30000188,fortress,,Hentogaira,0.6,caldari
30003514,fortress,,Yeeramoun,0.8,amarr
30005052,fortress,,Soumi,0.6,amarr
30000004,fortress,,Jark,0.8,amarr
30002242,fortress,,Mamenkhanar,0.7,amarr
30005252,fortress,,Anzalaisio,0.5,amarr
30002986,fortress,,Mendori,0.5,amarr
30002700,fortress,,Bawilan,0.5,gallente
30003050,fortress,,Odixie,0.6,gallente
30000005,fortress,,Sasta,0.8,amarr
30004250,fortress,,Chibi,0.5,amarr
30003392,fortress,,Eygfe,0.7,minmatar
30003515,fortress,,Anila,0.7,amarr
30004100,fortress,,Halibai,0.7,amarr
30002662,fortress,,Pulin,0.5,gallente
30045322,fortress,,Samanuni,0.7,caldari
30003885,fortress,,Arzanni,0.6,amarr
30004248,fortress,,Haimeh,0.5,amarr
30003541,fortress,,Faswiba,0.4,amarr
30002651,fortress,,Fasse,0.4,gallente
30004150,fortress,,Shaggoth,0.7,amarr
30002251,fortress,,Sadye,0.6,amarr
30005260,fortress,,Keri,0.4,amarr
30000105,fortress,,Abha,0.4,amarr
30004992,fortress,,Palmon,0.4,gallente
30002243,fortress,,Seiradih,0.6,amarr
30003553,fortress,,Warouh,0.5,amarr
30045331,triglavian_minor_victory,,Vaaralen,0.3,caldari
30001400,triglavian_minor_victory,,Litiura,0.5,caldari
30004244,triglavian_minor_victory,,Onanam,0.4,amarr
30045345,triglavian_minor_victory,,Hirri,0.3,caldari
30001358,triglavian_minor_victory,,Ossa,0.5,caldari
30001401,triglavian_minor_victory,,Nonni,0.5,caldari
30045354,triglavian_minor_victory,,Reitsato,0.2,caldari
30002557,triglavian_minor_victory,,Atgur,0.5,minmatar
30002760,triglavian_minor_victory,,Manjonakko,0.3,caldari
30002795,triglavian_minor_victory,,Oshaima,0.5,caldari
30004981,triglavian_minor_victory,,Actee,0.5,gallente
30001447,triglavian_minor_victory,,Taisy,0.3,caldari
30001390,triglavian_minor_victory,,Pakkonen,0.4,caldari
30003076,triglavian_minor_victory,,Gammel,0.5,amarr
30000163,triglavian_minor_victory,,Akora,0.3,caldari
30003073,triglavian_minor_victory,,Netsalakka,0.5,amarr
30001391,triglavian_minor_victory,,Piekura,0.5,caldari
30002771,triglavian_minor_victory,,Kulelen,0.5,caldari
30005330,triglavian_minor_victory,,Arraron,0.5,gallente
30000205,triglavian_minor_victory,,Obe,0.3,caldari
30003856,triglavian_minor_victory,,Athounon,0.1,gallente
30002645,triglavian_minor_victory,,Carrou,0.4,gallente
30045338,triglavian_minor_victory,,Hikkoken,0.3,caldari
30002575,triglavian_minor_victory,,Sotrenzur,0.3,minmatar
30001383,triglavian_minor_victory,,Vaajaita,0.5,caldari
30003464,triglavian_minor_victory,,Aldik,0.7,minmatar
30000182,triglavian_minor_victory,,Inaya,0.6,caldari
30001685,triglavian_minor_victory,,Ordat,0.3,amarr
